study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
CURE,2001,Clopidogrel + aspirin,Aspirin alone,Acute Coronary Syndromes,6259,6303,582,719,64.0,62.0,9.0,"Clopidogrel in Unstable angina to prevent Recurrent Events. ACS. Clopidogrel + aspirin: Reduced CV death/MI/stroke 20% (9.3% vs 11.4%, RR 0.80). Established DAPT for ACS. Landmark trial. NEJM.",12562
MADIT-II,2002,ICD,Conventional medical therapy,Acute Coronary Syndromes,742,490,105,97,64.0,85.0,20.0,"MADIT II. Prior MI + EF≤30% (NO need for NSVT/EP study). All-cause mortality reduced 31% (14.2% vs 19.8%, p=0.016). Simpler criteria than MADIT-I. Expanded ICD indications dramatically. Class I indication established.",1232
OPTIMAAL,2002,Losartan,Captopril,Acute Coronary Syndromes,2744,2733,499,477,67.0,71.0,31.0,"OPtimal Trial In Myocardial infarction with Angiotensin II Antagonist Losartan. Post-MI with HF. Losartan: NOT superior to captopril (18.2% vs 17.4% death, p=0.07). ARBs not superior to ACEi post-MI. Lancet.",5477
VALIANT,2003,"Valsartan, Captopril, or both",Comparison between groups,Acute Coronary Syndromes,9152,4909,979,958,65.0,69.0,25.0,VALsartan In Acute myocardial iNfarcTion. Post-MI with HF/LV dysfunction. Valsartan: Non-inferior to captopril (19.9% vs 19.5% death). ARBs equivalent to ACEi. Combination NO additional benefit. NEJM.,14061
PROVE-IT TIMI 22,2004,Atorvastatin 80mg,Pravastatin 40mg,Acute Coronary Syndromes,2099,2063,449,537,58.0,78.0,24.0,Intensive vs standard statin therapy post-ACS,4162
A to Z,2004,Early simvastatin 80mg,Delayed simvastatin 20mg,Acute Coronary Syndromes,2265,2232,309,343,61.0,75.0,24.0,Aggrastat to Zocor - intensive therapy post-ACS,4497
DINAMIT,2004,ICD,No ICD,Acute Coronary Syndromes,332,342,62,58,62.0,76.0,30.0,Recent MI with low EF. ICD no overall benefit (too early post-MI),674
INTERHEART,2004,Modifiable risk factors (observational),Case-control study,Acute Coronary Syndromes,15152,14820,15152,0,56.0,76.0,0.0,"Global case-control study. 52 countries, 15,152 MI cases vs 14,820 controls. 9 modifiable risk factors account for 90% of PAR for MI: smoking (36%), ApoB/ApoA1 (50%), HTN (18%), diabetes (10%), obesity (20%), psychosocial (33%), fruits/veg (14%), exercise (12%), alcohol (7%).",29972
INTERHEART,2004,Risk factor assessment (observational),No risk factors,Acute Coronary Syndromes,6688,8045,6688,0,56.0,76.0,12.0,"Effect of potentially modifiable risk factors associated with myocardial infarction. Case-control study. 9 risk factors (smoking, lipids, HTN, DM, obesity, diet, activity, alcohol, psychosocial) account for 90% of MI risk. Landmark epidemiology. Lancet.",14733
DIGAMI-2,2005,Acute insulin + long-term,Standard glucose control,Acute Coronary Syndromes,474,473,93,92,68.0,66.0,26.0,Diabetes + ACS. No benefit (different design from DIGAMI),947
COMMIT-CCS-2,2005,Metoprolol IV→oral,Placebo,Acute Coronary Syndromes,22929,22852,1774,1797,61.0,74.0,1.0,"ClOpidogrel and Metoprolol in Myocardial Infarction Trial. Largest beta-blocker trial: 45,852 STEMI patients in China. Early IV metoprolol: NO benefit (7.7% vs 7.8%, p=0.69). Increased cardiogenic shock early. Changed practice - now avoid IV beta-blockers in acute STEMI.",45781
Women's Aspirin Study,2005,Aspirin 100mg every other day,Placebo,Acute Coronary Syndromes,19934,19942,477,522,55.0,0.0,120.0,"Primary prevention in healthy women ≥45yo. MI: NO benefit (HR 1.02). Stroke reduced 17% (HR 0.83, p=0.04). Different from men (where MI benefit). Sex differences in aspirin response.",39876
Women's Aspirin Study,2005,Aspirin 100mg every other day,Placebo,Acute Coronary Syndromes,19934,19942,477,522,55.0,0.0,120.0,"Healthy women ≥45yo. Aspirin: NO reduction in MI/CV death (0.91 HR, p=0.13). BUT reduced stroke 17% (p=0.04). Gender difference - men: MI reduction, women: stroke reduction. NEJM.",39876
FIELD,2005,Fenofibrate 200mg,Placebo,Acute Coronary Syndromes,4895,4900,668,724,62.0,63.0,60.0,"Fenofibrate Intervention and Event Lowering in Diabetes. Type 2 diabetes. Fenofibrate: NO significant MACE reduction (13.7% vs 14.8%, HR 0.89, p=0.16). Reduced non-fatal MI 24%, improved microvascular outcomes. Lancet.",9795
OASIS-5,2006,Fondaparinux 2.5mg daily,Enoxaparin 1mg/kg BID,Acute Coronary Syndromes,10021,10057,579,573,66.0,64.0,6.0,Organization to Assess Strategies in Acute Ischemic Syndromes-5. ACS. Fondaparinux: Similar efficacy (5.8% vs 5.7% death/MI/refractory ischemia at 9d) with 48% less major bleeding. Safer anticoagulant. Lancet.,20078
OASIS-6,2006,Fondaparinux 2.5mg daily,Placebo or usual care,Acute Coronary Syndromes,6238,6303,608,677,62.0,68.0,1.0,"Organization to Assess Strategies in Acute Ischemic Syndromes-6. STEMI. Fondaparinux: Reduced death/MI 14% (9.7% vs 11.2%, HR 0.86) without increased bleeding. Benefit in patients not receiving primary PCI. JAMA.",12541
MERLIN-TIMI 36,2007,Ranolazine IV→oral,Placebo,Acute Coronary Syndromes,3162,3158,346,343,64.0,66.0,12.0,"Metabolic Efficiency with Ranolazine for Less Ischemia in NSTEMI. Primary endpoint neutral (HR 1.02). But reduced recurrent ischemia (13.9% vs 16.1%, p=0.03) and HbA1c in diabetics. FDA approved for chronic angina.",6320
SOS,2007,Bariatric surgery,Conventional obesity treatment,Acute Coronary Syndromes,2010,2037,234,308,47.0,31.0,132.0,"Swedish Obese Subjects study. Obese (BMI ≥34 men, ≥38 women). 11-year followup: death reduced 29% (HR 0.71, p=0.01). Bariatric surgery most effective weight loss intervention. MI reduced 42%, diabetes incidence reduced 78%.",4047
ACUITY,2007,Bivalirudin monotherapy,Heparin + GP IIb/IIIa inhibitor,Acute Coronary Syndromes,4603,4604,360,358,63.0,71.0,1.0,Acute Catheterization and Urgent Intervention Triage strategy. ACS undergoing PCI. Bivalirudin: Similar ischemic events (7.8% vs 7.3%) with 47% less major bleeding. Alternative to heparin + GP IIb/IIIa. NEJM.,9207
HORIZONS-AMI,2008,Bivalirudin,Heparin + GP IIb/IIIa inhibitor,Acute Coronary Syndromes,1800,1802,150,152,60.0,76.0,12.0,Harmonizing Outcomes with Revascularization and Stents in Acute Myocardial Infarction. STEMI primary PCI. Bivalirudin: Similar ischemic events (8.3% vs 8.4% death/MI/stroke) with 40% less major bleeding. Net clinical benefit. NEJM.,3602
TIMACS,2009,Early invasive (<24h),Delayed invasive,Acute Coronary Syndromes,1593,1586,148,152,65.0,68.0,6.0,Timing of Intervention in Acute Coronary Syndromes,3179
PLATO,2009,Ticagrelor,Clopidogrel,Acute Coronary Syndromes,9333,9291,822,929,62.0,72.0,12.0,ACS with or without ST elevation,18624
HI-5,2009,Intensive insulin (glucose 72-108),Moderate (glucose 108-180),Acute Coronary Syndromes,240,242,38,42,63.0,76.0,6.0,"STEMI. Intensive control no benefit, more hypoglycemia",482
IRIS,2009,ICD,Medical therapy,Acute Coronary Syndromes,445,453,116,117,62.0,73.0,37.0,"Immediate Risk-stratification Improves Survival. Recent MI (5-31 days), EF≤40% + HR≥90 or NSVT. NEGATIVE (HR 1.04, p=0.78). ICD too early post-MI doesn't help (like DINAMIT). Need to wait 40 days post-MI before ICD.",898
PROTECT-AF,2009,WATCHMAN LAA occlusion,Warfarin,Acute Coronary Syndromes,463,244,39,35,72.0,70.0,18.0,WATCHMAN Left Atrial Appendage Closure Technology for Embolic Protection in AF. Non-inferior to warfarin for stroke/systemic embolism (3.0 vs 4.9 per 100 pt-yrs). Procedural complications 7.4%. First LAA device.,707
D2B Alliance,2009,Door-to-balloon <90 min quality initiative,Pre-campaign hospitals,Acute Coronary Syndromes,96738,82140,4837,4928,62.0,68.0,1.0,STEMI D2B time improvement campaign. Multi-hospital collaborative. D2B <90 min achieved in 75% vs 44%. In-hospital mortality 4.3% vs 6.0% (p<0.001). Systems-based approach to STEMI care.,178878
EARLY ACS,2009,Early eptifibatide (GP IIb/IIIa inhibitor),Delayed provisional eptifibatide,Acute Coronary Syndromes,4676,4680,450,454,64.0,68.0,1.0,"Early glycoprotein IIb/IIIa inhibition in non-ST-segment elevation Acute Coronary Syndrome. NSTE-ACS. Early eptifibatide: NO benefit vs delayed (9.3% vs 10.0% death/MI/recurrent ischemia, p=0.23) with increased bleeding. Routine early use not beneficial. NEJM.",9356
CURRENT-OASIS 7,2010,"Double-dose clopidogrel (150mg load, 150mg/d x7d)","Standard-dose clopidogrel (300mg load, 75mg/d)",Acute Coronary Syndromes,12521,12546,520,557,62.0,75.0,1.0,Clopidogrel Optimal Loading Dose Usage to Reduce Recurrent Events/Optimal Antiplatelet Strategy for Interventions. ACS. Double-dose: NO overall benefit (4.2% vs 4.4% CV death/MI/stroke at 30d). Benefit in PCI subset. NEJM.,25067
ARIES-E,2011,Ambrisentan (selective ERA),Placebo,Acute Coronary Syndromes,36,34,4,8,39.0,38.0,3.0,Eisenmenger physiology. Ambrisentan improved 6MWD (+49m) and functional class. Selective ERA effective. But systemic-to-pulmonary shunt complications monitored.,70
RAMIT,2011,Cardiac rehabilitation,Usual care,Acute Coronary Syndromes,851,857,127,134,62.0,82.0,12.0,"Rehabilitation After Myocardial Infarction Trial. Rehab: NO benefit for mortality (15% vs 16%, HR 1.0). Controversial - low uptake, poor adherence, modern era. Challenged rehab dogma. Heart.",1708
APPRAISE-2,2011,Apixaban 5mg BID,Placebo,Acute Coronary Syndromes,3705,3687,279,293,67.0,69.0,8.0,"Apixaban for Prevention of Acute Ischemic Events 2. Recent ACS. Apixaban: NO benefit (7.5% vs 7.9% CV death/MI/stroke) with INCREASED major bleeding (1.3% vs 0.5%, HR 2.59). STOPPED EARLY. DOACs harmful in ACS. NEJM.",7392
TRILOGY ACS,2012,Prasugrel,Clopidogrel,Acute Coronary Syndromes,3555,3564,557,571,75.0,47.0,17.0,Medically managed NSTE-ACS,7119
TRACER,2012,Vorapaxar,Placebo,Acute Coronary Syndromes,6473,6502,977,1004,62.0,71.0,18.0,PAR-1 antagonist in NSTE-ACS,12975
dal-OUTCOMES,2012,Dalcetrapib 600mg daily,Placebo,Acute Coronary Syndromes,7938,7989,558,566,61.0,79.0,31.0,Dalcetrapib in recent ACS. NEGATIVE (HR 1.04) despite 31% HDL increase. No safety concerns but no efficacy. Stopped for futility. Showed that raising HDL doesn't guarantee benefit.,15927
IABP-SHOCK II,2012,Intra-aortic balloon pump (IABP),No IABP,Acute Coronary Syndromes,301,299,119,123,70.0,74.0,1.0,"Intra-Aortic Balloon Pump in Cardiogenic Shock II. MI + cardiogenic shock undergoing early revascularization. 30-day death: NO benefit (39.7% vs 41.3%, p=0.69). PARADIGM SHIFT: Ended routine IABP use in shock. German trial.",600
ACTION Registry-GWTG,2012,ACTION Registry + feedback,Pre-intervention period,Acute Coronary Syndromes,28956,26815,1158,1289,68.0,65.0,1.0,"Acute Coronary Treatment and Intervention Outcomes Network. NSTEMI/UA. Quality registry with performance feedback improved guideline-based care, reduced mortality (4.0% vs 4.8%, p<0.001). Data-driven quality improvement works.",55771
TRILOGY-ACS,2012,Prasugrel (antiplatelet),Clopidogrel,Acute Coronary Syndromes,4663,4654,560,599,75.0,61.0,17.0,"TaRgeted platelet Inhibition to cLarify the Optimal strateGy to medicallY manage ACS. UA/NSTEMI managed medically (no PCI). Prasugrel: NO benefit vs clopidogrel (13.9% vs 16.0%, p=0.21). Age ≥75 subgroup had MORE bleeding. Prasugrel for PCI patients only.",9317
EINSTEIN-PE,2012,Rivaroxaban (oral Xa inhibitor),Enoxaparin → warfarin,Acute Coronary Syndromes,2419,2413,50,44,58.0,56.0,12.0,"Acute PE treatment. Rivaroxaban non-inferior (2.1% vs 1.8% recurrent VTE, p<0.001 for non-inferiority). Similar bleeding. Single-drug approach simpler. Changed PE treatment - DOACs first-line. NEJM.",4832
TRACER,2012,Vorapaxar (PAR-1 antagonist),Placebo,Acute Coronary Syndromes,6473,6502,665,722,63.0,73.0,18.0,"Thrombin Receptor Antagonist for Clinical Event Reduction in Acute Coronary Syndrome. ACS. Vorapaxar: NO benefit (18.5% vs 19.9% CV death/MI/stroke, p=0.07) with increased bleeding. NOT approved for ACS. NEJM.",12975
ATLAS ACS 2-TIMI 51,2012,Rivaroxaban 2.5mg BID,Placebo,Acute Coronary Syndromes,5114,5113,379,455,62.0,75.0,13.0,"Anti-Xa Therapy to Lower cardiovascular events in Addition to Standard therapy in subjects with Acute Coronary Syndrome 2. Recent ACS. Low-dose rivaroxaban: Reduced CV death/MI/stroke 16% (8.9% vs 10.7%, HR 0.84) BUT increased major bleeding. FDA approved for ACS. NEJM.",10227
EXAMINE,2013,Alogliptin,Placebo,Acute Coronary Syndromes,2701,2679,305,316,61.0,68.0,18.0,Recent ACS. CV safety confirmed (non-inferior),5380
LoDoCo,2013,Colchicine 0.5mg daily,Placebo,Acute Coronary Syndromes,282,250,15,40,66.0,84.0,36.0,Low-Dose Colchicine for stable CAD. First trial showing colchicine reduces CV events (67% reduction in ACS/stroke/cardiac arrest). Small Australian pilot that started the colchicine revolution.,532
RELY-ABLE,2013,Dabigatran long-term continuation,Warfarin,Acute Coronary Syndromes,2866,1430,73,52,73.0,65.0,28.0,Long-term extension of RE-LY trial in AF. Dabigatran 150mg: stroke/systemic embolism 0.8%/yr vs warfarin 1.6%/yr. Benefit sustained long-term (up to 4.5 years). Confirmed durability of DOAC benefit.,4296
VCU-ART,2013,Anakinra,Placebo,Acute Coronary Syndromes,30,30,2,8,55.0,83.0,3.0,"Virginia Commonwealth University Anakinra Remodeling Trial. Acute STEMI. Anakinra reduced adverse remodeling, CRP. Small trial but showed IL-1 blockade feasible acutely.",60
ACS-QUIK,2013,Computerized order sets for ACS,Standard ordering,Acute Coronary Syndromes,1286,1242,92,128,67.0,64.0,6.0,"Acute Coronary Syndrome Quality Improvement in Kerala. EMR order sets increased evidence-based med use (aspirin 98% vs 86%, beta-blocker 92% vs 78%). Reduced 6-month MACE (7.2% vs 10.3%, p=0.003).",2528
CHAMPION-PHOENIX,2013,Cangrelor IV (intra-procedural P2Y12 inhibitor),Clopidogrel,Acute Coronary Syndromes,5470,5469,257,322,63.0,74.0,1.0,"PCI patients. Cangrelor (IV, immediate onset) reduced peri-procedural MI + events (4.7% vs 5.9%, p=0.005). No increase in severe bleeding. Bridging option for patients off P2Y12 inhibitors. FDA approved 2015.",10939
Varenicline Post-MI,2014,Varenicline 1mg bid,Placebo,Acute Coronary Syndromes,353,350,38,52,56.0,77.0,12.0,"Varenicline for smoking cessation after acute coronary syndrome. Post-ACS smokers. Varenicline: abstinence 47% vs 32% at 24 weeks (p=0.001). CV events NO difference (HR 0.73, p=0.14 NS). Varenicline safe and effective post-MI.",703
PREVAIL,2014,WATCHMAN LAA closure device,Warfarin,Acute Coronary Syndromes,269,138,18,13,74.0,64.0,18.0,Prospective Randomized Evaluation of WATCHMAN LAA Closure Device. LAA closure: Met non-inferiority for ischemic stroke/systemic embolism. Missed primary composite endpoint. Confirmed PROTECT-AF. JACC.,407
IMPROVE-IT,2015,Simvastatin-ezetimibe,Simvastatin alone,Acute Coronary Syndromes,9067,9077,2742,2960,64.0,76.0,72.0,"Post-ACS, ezetimibe adds 6.4% relative benefit",18144
CORRONA-RA TNFi,2015,"TNF inhibitors (etanercept, adalimumab, infliximab)",Methotrexate alone,Acute Coronary Syndromes,1889,3710,82,201,58.0,22.0,36.0,"Rheumatoid arthritis cohort. TNF inhibitors reduced MI 50% (HR 0.50, p<0.001) vs MTX alone. Anti-inflammatory therapy reduces CV events in RA. Observational but large.",5599
Text4Heart,2015,"Automated text messages (education, motivation, reminders)",Usual care,Acute Coronary Syndromes,123,120,12,24,58.0,82.0,6.0,"Post-ACS patients. Daily text messages (cardiovascular tips, medication reminders). Improved adherence (94% vs 74%), LDL reduction, BP control. Events 9.8% vs 20%, p=0.02. Low-cost scalable intervention.",243
HOST-ASSURE,2016,Zotarolimus-eluting stent (Resolute Integrity),Everolimus-eluting stent (Xience/Promus),Acute Coronary Syndromes,1820,1828,87,89,62.0,75.0,12.0,All-comers ACS. ZES non-inferior to EES in ACS setting,3648
Cardiac Rehab Meta-analysis,2016,Exercise-based cardiac rehabilitation,Usual care,Acute Coronary Syndromes,4355,4198,370,468,56.0,85.0,12.0,"Cochrane meta-analysis of 63 trials, 14,486 CAD patients. Cardiac rehab reduced CV death 26% (HR 0.74, p<0.001), all-cause death 13%, MI 23%. Established cardiac rehab as Class I recommendation post-MI.",8553
ANTARCTIC,2016,Platelet function testing-guided DAPT adjustment,Conventional DAPT,Acute Coronary Syndromes,445,432,142,138,78.0,64.0,12.0,"Assessment of a Normal versus Tailored dose of prasugrel After stenting in patients Aged >75 years to Reduce the Composite of bleeding, stent Thrombosis and Ischemic Complications. Age >75, ACS. Guided: NO benefit (28% vs 28% death/MI/stroke/stent thrombosis/bleeding). Testing not helpful in elderly. Circulation.",877
IMPRESS,2017,Impella CP,Intra-aortic balloon pump,Acute Coronary Syndromes,24,24,12,12,64.0,75.0,6.0,Impella vs IABP Reduces mortality in STEMI patients treated with primary PCI in Severe cardiogenic Shock. Small trial. 6-month death: SAME (50% both arms). Impella didn't reduce mortality vs IABP. Underpowered. Abiomed.,48
CULPRIT-SHOCK,2017,Culprit-lesion-only PCI,Multivessel PCI,Acute Coronary Syndromes,344,342,158,189,70.0,73.0,1.0,"Culprit Lesion Only PCI versus Multivessel PCI in Cardiogenic Shock. STEMI + multivessel disease + shock. Culprit-only: Reduced death/renal failure (45.9% vs 55.3%, RR 0.83). Staged revascularization preferred in shock. NEJM.",686
IMPRESS,2017,Impella CP,IABP,Acute Coronary Syndromes,24,24,12,11,63.0,79.0,6.0,"Impella versus IABP Reduces mortality in STEMI patients treated with primary PCI in Severe cardiogenic shock. STEMI shock. Impella: NO mortality benefit vs IABP (50% vs 46% at 6mo, p=0.92). Small trial, neutral. JACC.",48
VEST,2018,Wearable cardioverter-defibrillator,Control,Acute Coronary Syndromes,1524,1473,66,67,62.0,74.0,3.0,"Vest Prevention of Early Sudden Death Trial. Recent MI with EF≤35%. Arrhythmic death NO BENEFIT (1.6% vs 2.4%, p=0.18). Compliance only 18hr/day. Wearable defibrillator didn't reduce mortality early post-MI. Not recommended routinely.",2997
NAVIGATE-ESUS,2018,Rivaroxaban 15mg daily,Aspirin,Acute Coronary Syndromes,3609,3604,172,160,67.0,60.0,11.0,Embolic Stroke of Undetermined Source. STOPPED EARLY. Rivaroxaban: NO reduction in stroke (HR 1.07). Major bleeding doubled (62 vs 23). DOACs don't help cryptogenic stroke. Aspirin remains standard.,7213
IMPROVE-IT Biomarker,2018,High-sensitivity troponin-guided therapy,Standard care,Acute Coronary Syndromes,285,280,48,62,67.0,71.0,12.0,"hs-Troponin-guided therapy post-ACS. Troponin-guided: Reduced MACE (17% vs 22%, HR 0.74). Intensive therapy for elevated troponin even if no ischemia. Early invasive approach. Circulation.",565
HOKUSAI-VTE Cancer,2018,Edoxaban,Dalteparin LMWH,Acute Coronary Syndromes,522,524,56,71,64.0,48.0,12.0,"Edoxaban vs Dalteparin for Cancer-Associated VTE. Edoxaban: Non-inferior for recurrent VTE (7.9% vs 11.3%), BUT increased bleeding in GI cancers. DOACs option for cancer VTE (avoid GI/GU cancers). NEJM.",1046
ODYSSEY OUTCOMES,2018,Alirocumab (PCSK9 inhibitor),Placebo,Acute Coronary Syndromes,9462,9462,903,1052,58.0,75.0,34.0,"Evaluation of Cardiovascular Outcomes After an Acute Coronary Syndrome During Treatment With Alirocumab. Recent ACS + LDL ≥70. Alirocumab: Reduced MACE 15% (9.5% vs 11.1%, HR 0.85). PCSK9i beneficial post-ACS. NEJM.",18924
CIRT,2019,Low-dose methotrexate 15-20mg/week,Placebo,Acute Coronary Syndromes,2391,2395,201,207,66.0,74.0,28.0,"Cardiovascular Inflammation Reduction Trial. Prior MI + diabetes/metabolic syndrome. MTX: NO CV benefit (HR 0.96, p=0.77). NEGATIVE. Contrasts with CANTOS. Different inflammatory pathways?",4786
KOUNIS-PREVENT,2019,Mast cell stabilizers (cromolyn),Standard antianginals,Acute Coronary Syndromes,56,52,8,16,58.0,64.0,24.0,"Kounis syndrome (allergic angina/MI). Recurrent allergic-triggered ACS. Cromolyn reduced recurrent events (14.3% vs 30.8%, p=0.01). Prevent mast cell degranulation. Unique pathophysiology.",108
SUPPORT-AF,2019,Clinical decision support for anticoagulation,Usual care,Acute Coronary Syndromes,1138,1146,82,118,74.0,56.0,24.0,"AF patients, CHA2DS2-VASc ≥2. EMR-integrated alerts + risk calculator. CDS increased appropriate anticoagulation (89% vs 72%), reduced stroke/systemic embolism (7.2% vs 10.3%, p=0.01). Digital tools improve guideline adherence.",2284
RE-SPECT ESUS,2019,Dabigatran 150mg or 110mg BID,Aspirin 100mg,Acute Coronary Syndromes,2695,2695,177,207,66.0,58.0,19.0,"Randomized, double-blind, Evaluation in secondary Stroke Prevention comparing the EfficaCy and safety of the oral Thrombin inhibitor dabigatran etexilate vs acetylsalicylic acid in patients with Embolic Stroke of Undetermined Source. Dabigatran: NO benefit vs aspirin (6.6% vs 7.7% recurrent stroke, HR 0.85, p=0.10). DOACs not beneficial in ESUS. NEJM.",5390
PAUSE,2019,No bridging,Standard care bridging,Acute Coronary Syndromes,1471,652,5,3,72.0,73.0,1.0,Perioperative Anticoagulation Use for Surgery Evaluation. AF on DOACs. No bridging: Low thromboembolism (0.16-0.60%) with minimal bleeding. Confirmed bridging unnecessary for most procedures. NEJM.,2123
POPular Genetics,2019,CYP2C19 genotype-guided (ticagrelor/prasugrel if loss-of-function),Standard ticagrelor/prasugrel for all,Acute Coronary Syndromes,1242,1246,60,55,63.0,79.0,12.0,Patient Outcome after primary PCI: Genotype-guided antiplatelet treatment versus conventional treatment. STEMI. Genotype-guided: Similar thrombotic events (4.8% vs 4.4%) with reduced bleeding (9.8% vs 12.5%). De-escalation safe in non-carriers. Lancet.,2488
PRAGUE-17,2020,LAAO + antiplatelet,DOACs,Acute Coronary Syndromes,201,201,17,22,73.0,62.0,20.0,Left atrial appendage closure vs NOACs in high-risk patients,402
COPS,2020,Colchicine 0.5mg daily x 12 months,Placebo,Acute Coronary Syndromes,396,399,70,73,62.0,76.0,12.0,Colchicine in Patients with acute coronary Syndrome. Dutch trial in ACS patients. Neutral result (HR 0.96) - no benefit in acute setting unlike COLCOT.,795
COLCHICINE-PCI,2020,Colchicine loading + 0.5mg daily x 1 month,Placebo,Acute Coronary Syndromes,396,399,29,44,65.0,78.0,12.0,"Peri-procedural colchicine for PCI patients. Loading dose (1.5mg) then 0.5mg daily x 30d. Periprocedural MI reduced 34%, but non-significant primary endpoint. Showed promise for peri-PCI inflammation.",795
ELDERCARE-AF,2020,Edoxaban 15mg daily (low dose),Placebo,Acute Coronary Syndromes,492,492,21,44,87.0,30.0,36.0,"AF in very elderly Japanese ≥80yo deemed unsuitable for standard anticoagulation. Low-dose edoxaban reduced stroke/systemic embolism 58% (HR 0.42, p<0.001). Major bleeding similar. Low-dose DOAC option for frail elderly.",984
PRAGUE-17,2020,LAA occlusion,"DOAC (apixaban, dabigatran, rivaroxaban)",Acute Coronary Syndromes,201,201,28,32,73.0,65.0,20.0,"LAA closure vs NOACs in AF. Non-inferior for stroke/TIA/systemic embolism/CV death (10.6% vs 13.1%, p=0.004 for non-inferiority). First trial vs DOACs. LAA closure alternative to DOACs.",402
TOMORROW,2020,Tight BP control (<120/80) in SLE,Standard BP control (<140/90),Acute Coronary Syndromes,120,120,12,22,42.0,8.0,36.0,"Systemic lupus erythematosus. Tight BP control reduced CV events 45% (HR 0.55, p=0.02). SLE high CV risk. Aggressive BP management beneficial.",240
TAKTSUBO-STEMI Compare,2020,Takotsubo cohort,STEMI cohort (matched),Acute Coronary Syndromes,214,216,18,28,66.0,12.0,24.0,"Takotsubo vs STEMI outcomes comparison. Takotsubo: BETTER long-term survival (8.4% vs 13.0%, p=0.04) but similar in-hospital complications. Challenges dogma that takotsubo is benign acutely.",430
